Token	Eval-Annotation	Eval-ClassSubclassOf	Eval-IndividualClasses	Pred-Annotation	Pred-ClassSubclassOf	Pred-IndividualClasses
The	O			O		
Gimli	B-INDIVIDUAL		nickname	B-INDIVIDUAL		aircanadaaircraft
Glider	I-INDIVIDUAL		nickname	I-INDIVIDUAL		aircanadaaircraft
is	O			O		
the	O			O		
nickname	B-CLASS	description		O		
of	O			O		
an	O			O		
Air	O			B-CLASS	organisation,physicalobject	
Canada	O			I-CLASS	organisation,physicalobject	
aircraft	O			I-CLASS	organisation,physicalobject	
that	O			O		
was	O			O		
involved	O			O		
in	O			O		
an	O			O		
unusual	O			O		
aviation	O			O
incident	O			O
.	O			O		
On	O			O		
July	O			O		
23	O			O		
,	O			O		
1983	O			O
,	O			O		
Air	O			O
Canada	O			O
Flight	O			O
143	O			O
,	O			O		
a	O			O		
Boeing	O			O
767–233	O			O
jet	O			O
,	O			O		
ran	O			O		
out	O			O		
of	O			O		
fuel	O			O		
at	O			O		
an	O			O		
altitude	O			O
of	O			O		
41,000	O			O		
feet	O			O		
(	O			O		
12,000	O			O		
m	O			O		
)	O			O		
MSL	O			O		
,	O			O		
about	O			O		
halfway	O			O		
through	O			O		
its	O			O		
flight	O			O		
originating	O			O		
in	O			O		
Montreal	O			O	
to	O			O		
Edmonton	O			O
.	O			O		
The	O			O		
crew	O			O
were	O			O		
able	O			O		
to	O			O		
glide	O			O		
the	O			O		
aircraft	O			O		
safely	O			O		
to	O			O		
an	O			O		
emergency	O			O
landing	O			O
at	O			O		
Gimli	O			O
Industrial	O			O
Park	O			O
Airport	O			O
,	O			O		
a	O			O		
former	O			O		
Royal	O			O
Canadian	O			O
Air	O			O
Force	O			O
base	O			O		
in	O			O		
Gimli	O			O		
,	O			O		
Manitoba	O			O	
.	O			O		
