Token	Eval-Annotation	Eval-ClassSubclassOf	Eval-IndividualClasses	Pred-Annotation	Pred-ClassSubclassOf	Pred-IndividualClasses
Oceania	B-INDIVIDUAL		region	B-INDIVIDUAL		region
,	O			O		
also	O			O		
known	O			O		
as	O			O		
Oceanica	O			O		
,	O			O		
is	O			O		
a	O			O		
region	B-CLASS	location		B-CLASS	location	
centered	O			O		
on	O			O		
the	O			O		
islands	O			O		
of	O			O		
the	O			O		
tropical	O			O		
Pacific	O			O		
Ocean	O			O
.	O			O		
Opinions	O			O		
of	O			O		
what	O			O		
constitutes	O			O		
Oceania	O			O		
range	O			O		
from	O			O		
its	O			O		
three	O			O		
subregions	O			O		
of	O			O		
Melanesia	O			O
,	O			O		
Micronesia	O			O
,	O			O		
and	O			O		
Polynesia	O			O
to	O			O		
,	O			O		
more	O			O		
broadly	O			O		
,	O			O		
the	O			O		
entire	O			O		
insular	O			O		
region	O			O		
between	O			O		
Asia	O			O
and	O			O		
the	O			O		
Americas	O			O
,	O			O		
including	O			O		
Australasia	O			O
and	O			O		
the	O			O		
Malay	O			O
Archipelago	O			O
.	O			O		
