Token	Eval-Annotation	Eval-ClassSubclassOf	Eval-IndividualClasses	Pred-Annotation	Pred-ClassSubclassOf	Pred-IndividualClasses
A	O			O		
perennial	B-INDIVIDUAL		plant	B-CLASS	organism	plant
plant	I-INDIVIDUAL		plant	I-CLASS	organism	plant
or	O			O		
simply	O			O		
perennial	O			O		
(	O			O		
from	O			O		
Latin	O			O		
per	O			O		
,	O			O		
meaning	O			O		
"	O			O		
through	O			O		
"	O			O		
,	O			O		
and	O			O		
annus	O			O	
,	O			O		
meaning	O			O		
"	O			O		
year	O			O		
"	O			O		
)	O			O		
is	O			O		
a	O			O		
plant	B-CLASS	organism		O		
that	O			O		
lives	O			O		
for	O			O		
more	O			O		
than	O			O		
two	O			O		
years	O			O
.	O			O		
The	O			O		
term	O			O		
is	O			O		
often	O			O		
used	O			O		
to	O			O		
differentiate	O			O		
a	O			O		
plant	O			O		
from	O			O		
shorter	O			O		
-	O			O		
lived	O			O		
annuals	O			O
and	O			O		
biennials	O			O
.	O			O		
The	O			O		
term	O			O		
is	O			O		
also	O			O		
widely	O			O		
used	O			O		
to	O			O		
distinguish	O			O		
plants	O			O		
with	O			O		
little	O			O		
or	O			O		
no	O			O		
woody	O			O		
growth	O			O		
from	O			O		
trees	O			O		
and	O			O		
shrubs	O			O
,	O			O		
which	O			O		
are	O			O		
also	O			O		
technically	O			O		
perennials	O			O		
.	O			O		
