Token	Eval-Annotation	Eval-ClassSubclassOf	Eval-IndividualClasses	Pred-Annotation	Pred-ClassSubclassOf	Pred-IndividualClasses
Skalbmierz	B-INDIVIDUAL		town	B-INDIVIDUAL		town
is	O			O		
a	O			O		
town	B-CLASS	location		B-CLASS	location	
in	O			O		
south	O			O
eastern	O			O
Poland	O			O
,	O			O		
in	O			O		
Świętokrzyskie	O			O
Voivodeship	O			O
,	O			O		
in	O			O		
Kazimierza	O			O
County	O			O
.	O			O		
It	O			O		
has	O			O		
1,326	O			O		
inhabitants	O			O		
(	O			O		
2004	O			O
)	O			O		
.	O			O		
Skalbmierz	O			O		
has	O			O		
a	O			O		
long	O			O		
and	O			O		
rich	O			O		
history	O			O
,	O			O		
the	O			O		
town	O			O		
belongs	O			O		
to	O			O		
the	O			O		
province	O			O	
of	O			O		
Lesser	O			O	
Poland	O			O
.	O			O		
Skalbmierz	O			O		
received	O			O		
town	O			O
charter	O			O
in	O			O		
1342	O			O
,	O			O		
lost	O			O		
it	O			O		
in	O			O		
1869	O			O
,	O			O		
and	O			O		
regained	O			O		
in	O			O		
1927	O			O
.	O			O		
