Token	Eval-Annotation	Eval-ClassSubclassOf	Eval-IndividualClasses	Pred-Annotation	Pred-ClassSubclassOf	Pred-IndividualClasses
In	O			O		
mathematics	O			O	
,	O			O		
a	O			O		
lattice	B-INDIVIDUAL		orderedset,partiallyorderedset,set	B-CLASS	abstract	
is	O			O		
a	O			O		
partially	B-CLASS	abstract,orderedset		B-CLASS	abstract	
ordered	B-CLASS	abstract,set		I-CLASS	abstract	
set	I-CLASS	abstract,set		I-CLASS	abstract	
in	O			O		
which	O			O		
every	O			O		
two	O			O		
elements	O			O		
have	O			O		
a	O			O		
unique	O			O		
supremum	O			O
(	O			O		
also	O			O		
called	O			O		
a	O			O		
least	O			O
upper	O			O
bound	O			O
or	O			O		
join	O			O		
)	O			O		
and	O			O		
a	O			O		
unique	O			O		
infimum	O			O
(	O			O		
also	O			O		
called	O			O		
a	O			O		
greatest	O			O
lower	O			O
bound	O			O
or	O			O		
meet	O			O		
)	O			O		
.	O			O		
An	O			O		
example	O			O		
is	O			O		
given	O			O		
by	O			O		
the	O			O		
natural	O			O
numbers	O			O
,	O			O		
partially	O			O		
ordered	O			O		
by	O			O		
divisibility	O			O	
,	O			O		
for	O			O		
which	O			O		
the	O			O		
unique	O			O		
supremum	O			O		
is	O			O		
the	O			O		
least	O			O	
common	O			O
multiple	O			O
and	O			O		
the	O			O		
unique	O			O		
infimum	O			O		
is	O			O		
the	O			O		
greatest	O			O	
common	O			O
divisor	O			O
.	O			O		
